更新时间,#genre#
CCTV-7,http://220.249.114.102:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-7,http://123.56.129.203:7908/rtp/225.1.8.7:8104$北京电信组播源
CCTV-7,http://123.56.129.203:7908/rtp/225.1.8.107:8024$北京电信组播源
CCTV-7,http://123.56.129.203:7637/rtp/225.1.8.7:8104$组播源
CCTV-7,http://123.56.129.203:7637/rtp/225.1.8.107:8024$组播源
CCTV-7,http://60.164.128.167:8029/rtp/239.255.30.178:8231$组播源|1920x1080
CCTV-7,http://115.171.216.209:4000/rtp/225.1.8.7:8104$组播源|1920x1080
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-8,http://183.94.146.109:2222/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8,http://59.173.183.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8,http://123.56.129.203:7908/rtp/225.1.8.85:8000$北京电信组播源
CCTV-8,http://123.56.129.203:7908/rtp/225.1.8.91:8000$北京电信组播源
CCTV-8,http://123.56.129.203:7637/rtp/225.1.8.91:8000$组播源
CCTV-8,http://123.56.129.203:7637/rtp/225.1.8.85:8000$组播源
CCTV-8,http://60.164.128.167:8029/rtp/239.255.29.15:8231$组播源|1920x1080
CCTV-8,http://115.171.216.209:4000/rtp/225.1.8.85:8000$组播源|1920x1080
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-9,http://183.94.146.109:2222/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://59.173.183.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://123.56.129.203:7908/rtp/225.1.8.9:8112$北京电信组播源
CCTV-9,http://123.56.129.203:7908/rtp/225.1.8.109:8032$北京电信组播源
CCTV-9,http://123.56.129.203:7637/rtp/225.1.8.9:8112$组播源
CCTV-9,http://123.56.129.203:7637/rtp/225.1.8.109:8032$组播源
CCTV-9,http://60.164.128.167:8029/rtp/239.255.30.180:8231$组播源|1920x1080
CCTV-9,http://115.171.216.209:4000/rtp/225.1.8.9:8112$组播源|1920x1080
CCTV-10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-10,http://183.94.146.109:2222/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://59.173.183.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://123.56.129.203:7908/rtp/225.1.8.10:8116$北京电信组播源
CCTV-10,http://123.56.129.203:7908/rtp/225.1.8.110:8228$北京电信组播源
CCTV-10,http://123.56.129.203:7637/rtp/225.1.8.10:8116$组播源
CCTV-10,http://123.56.129.203:7637/rtp/225.1.8.110:8228$组播源
CCTV-10,http://60.164.128.167:8029/rtp/239.255.30.181:8231$组播源|1920x1080
CCTV-10,http://222.129.139.229:8888/rtp/239.3.1.63:8116$组播源|1920x1080
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-11,http://183.94.146.109:2222/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://59.173.183.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://123.56.129.203:7908/rtp/225.1.8.73:8120$北京电信组播源
CCTV-11,http://123.56.129.203:7908/rtp/225.1.8.111:8040$北京电信组播源
CCTV-11,http://123.56.129.203:7637/rtp/225.1.8.111:8040$组播源
CCTV-11,http://123.56.129.203:7637/rtp/225.1.8.73:8120$组播源
CCTV-11,http://60.164.128.167:8029/rtp/239.255.30.62:8231$组播源|1920x1080
CCTV-11,http://222.129.139.229:8888/rtp/239.3.1.152:8120$组播源|1920x1080
CCTV-12,http://183.94.146.109:2222/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-12,http://59.173.183.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://123.56.129.203:7908/rtp/225.1.8.12:8124$北京电信组播源
CCTV-12,http://123.56.129.203:7908/rtp/225.1.8.112:8232$北京电信组播源
CCTV-12,http://123.56.129.203:7637/rtp/225.1.8.112:8232$组播源
CCTV-12,http://123.56.129.203:7637/rtp/225.1.8.12:8124$组播源
CCTV-12,http://60.164.128.167:8029/rtp/239.255.30.182:8231$组播源|1920x1080
CCTV-12,http://115.171.216.209:4000/rtp/225.1.8.12:8124$组播源|1920x1080
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://183.94.146.109:2222/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://59.173.183.242:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://123.56.129.203:7908/rtp/225.1.8.168:8130$北京电信组播源
CCTV-13,http://123.56.129.203:7908/rtp/225.1.1.10:8128$北京电信组播源
CCTV-13,http://123.56.129.203:7637/rtp/225.1.1.10:8128$组播源
CCTV-13,http://123.56.129.203:7637/rtp/225.1.8.168:8130$组播源
CCTV-13,http://60.164.128.167:8029/rtp/239.255.29.28:8231$组播源|1920x1080
CCTV-13,http://115.171.216.209:4000/rtp/225.1.8.168:8130$组播源|1920x1080
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-14,http://183.94.146.109:2222/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://59.173.183.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://123.56.129.203:7908/rtp/225.1.8.14:8132$北京电信组播源
CCTV-14,http://123.56.129.203:7908/rtp/225.1.8.114:8236$北京电信组播源
CCTV-14,http://123.56.129.203:7637/rtp/225.1.8.114:8236$组播源
CCTV-14,http://123.56.129.203:7637/rtp/225.1.8.14:8132$组播源
CCTV-14,http://60.164.128.167:8029/rtp/239.255.30.183:8231$组播源|1920x1080
CCTV-14,http://115.171.216.209:4000/rtp/225.1.8.14:8132$组播源|1920x1080
CCTV-15,http://183.94.146.109:2222/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://59.173.183.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://123.56.129.203:7908/rtp/225.1.8.74:8136$北京电信组播源
CCTV-15,http://123.56.129.203:7908/rtp/225.1.8.115:8052$北京电信组播源
CCTV-15,http://123.56.129.203:7637/rtp/225.1.8.115:8052$组播源
CCTV-15,http://123.56.129.203:7637/rtp/225.1.8.74:8136$组播源
CCTV-15,http://60.164.128.167:8029/rtp/239.255.30.68:8231$组播源|1920x1080
CCTV-15,http://115.171.216.209:4000/rtp/225.1.8.74:8136$组播源|1920x1080
CCTV-16,http://60.164.128.167:8029/rtp/239.255.30.88:8231$组播源|1920x1080
CCTV-16,http://222.129.139.229:8888/rtp/239.3.1.184:8001$组播源|1920x1080
CCTV-16,http://222.129.139.229:8888/rtp/239.3.1.183:8001$组播源|1920x1080
CCTV-16,http://[2409:8087:1a0a:df::4030]:80/wh7f454c46tw2135331742_-653554677/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8?icpid=88888888&RTS=1713968964&from=4&hms_devid=1144&online=1713968964&vqe=3$订阅源|IPv6
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230984/1.m3u8$订阅源|IPv6
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw465056087_375752967/ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8?$订阅源|IPv6
CCTV-16,http://123.166.61.70:8003/hls/16/index.m3u8$订阅源
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8$订阅源
CCTV-16,http://60.255.240.247:8090/live/CCTV-16_4000.m3u8$订阅源
CCTV-17,http://59.173.183.242:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://123.56.129.203:7908/rtp/225.1.8.17:8144$北京电信组播源
CCTV-17,http://123.56.129.203:7908/rtp/225.1.8.117:8064$北京电信组播源
CCTV-17,http://[2409:8087:2001:20:2800:0:df6e:eb0b]:80/wh7f454c46tw1746687450_313977963/ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8?icpid=3&RTS=1674386157&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3$订阅源|IPv6
CCTV-17,http://[2409:8087:1a01:df::4025]:80/TVOD/88888888/224/3221225708/main.m3u8$订阅源|IPv6
CCTV-17,http://123.56.129.203:7637/rtp/225.1.8.17:8144$组播源
CCTV-17,http://39.98.201.151:9090/udp/225.1.8.117:8064$订阅源
CCTV-17,http://119.36.148.115:59901/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://111.160.17.2:59901/tsfile/live/0019_1.m3u8$订阅源
CETV1,http://123.56.129.203:7908/rtp/225.1.8.169:4120$北京电信组播源
CETV2,http://123.56.129.203:7908/rtp/225.1.8.193:4120$北京电信组播源
CETV4,http://123.56.129.203:7908/rtp/225.1.8.195:4120$北京电信组播源

💰央视付费频道,#genre#
央视台球,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_TAIQIU-CQ$订阅源
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|1920x1080
风云足球,http://183.94.146.109:2222/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|1920x1080
风云足球,http://183.94.146.109:2222/tsfile/live/1017_1.m3u8$订阅源
风云足球,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_FENGSHANGZQ-CQ$订阅源
风云足球,http://1.192.75.145:9901/tsfile/live/1111_1.m3u8$订阅源|1920x1080
世界地理,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_SHIJIEDL-CQ$订阅源
世界地理,http://60.2.190.206:4000/udp/239.253.92.113:8066$订阅源|1920x1080
世界地理,http://60.2.190.206:4000/udp/239.253.92.131:6113$订阅源|1920x1080

📡卫视频道,#genre#
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://183.94.146.109:2222/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
广东卫视,http://59.173.183.242:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://123.56.129.203:7908/rtp/225.1.8.151:8132$北京电信组播源
广东卫视,http://123.56.129.203:7004/rtp/225.1.8.151:8132$组播源
广东卫视,http://123.56.129.203:5431/rtp/225.1.8.151:8132$组播源
广东卫视,http://123.56.129.203:4310/rtp/225.1.8.151:8132$组播源
广东卫视,http://123.56.129.203:7637/rtp/225.1.8.151:8132$组播源
广东卫视,http://60.164.128.167:8029/rtp/239.255.30.134:8231$组播源|1920x1080
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8$订阅源
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8$订阅源
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
浙江卫视,http://61.136.172.236:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://183.94.146.109:2222/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://59.173.183.242:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://123.56.129.203:7908/rtp/225.1.8.133:8284$北京电信组播源
浙江卫视,http://123.56.129.203:7637/rtp/225.1.8.133:8284$组播源
浙江卫视,http://60.164.128.167:8029/rtp/239.255.30.132:8231$组播源|1920x1080
浙江卫视,http://222.129.139.229:8888/rtp/239.3.1.137:8036$组播源|1920x1080
浙江卫视,http://60.2.190.206:4000/rtp/239.253.92.90:8020$组播源|1920x1080
浙江卫视,http://[2409:8087:1a01:df::4043]:80/TVOD/88888888/224/3221225959/main.m3u8$订阅源|IPv6
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖南卫视,http://183.94.146.109:2222/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖南卫视,http://61.136.172.236:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖南卫视,http://59.173.183.242:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖南卫视,http://123.56.129.203:7908/rtp/225.1.8.132:8064$北京电信组播源
湖南卫视,http://123.56.129.203:5431/rtp/225.1.8.132:8064$组播源
湖南卫视,http://123.56.129.203:7493/rtp/225.1.8.132:8064$组播源
湖南卫视,http://139.196.151.191:3015/rtp/239.45.3.228:5140$组播源
湖南卫视,http://123.56.129.203:8357/rtp/225.1.8.132:8064$组播源
湖南卫视,http://123.56.129.203:7637/rtp/225.1.8.132:8064$组播源
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://183.94.146.109:2222/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
北京卫视,http://59.173.183.242:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://123.56.129.203:7908/rtp/225.1.8.21:8002$北京电信组播源
北京卫视,http://123.56.129.203:7637/rtp/225.1.8.21:8002$组播源
北京卫视,http://60.164.128.167:8029/rtp/239.255.30.133:8231$组播源|1920x1080
北京卫视,http://115.171.216.209:4000/rtp/225.1.8.21:8002$组播源|1920x1080
北京卫视,http://115.171.216.209:4000/rtp/225.1.8.121:8002$组播源|1920x1080
北京卫视,http://60.2.190.206:4000/rtp/239.253.92.87:8014$组播源|1920x1080
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖北卫视,http://183.94.146.109:2222/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://59.173.183.242:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://123.56.129.203:7908/rtp/225.1.8.146:8136$北京电信组播源
湖北卫视,http://123.56.129.203:7637/rtp/225.1.8.146:8136$组播源
湖北卫视,http://60.164.128.167:8029/rtp/239.255.30.138:8231$组播源|1920x1080
湖北卫视,http://60.2.190.206:4000/rtp/239.253.92.210:6567$组播源|1920x1080
湖北卫视,http://222.129.139.229:8888/rtp/239.3.1.138:8044$组播源|1920x1080
湖北卫视,http://121.33.239.242:9901/tsfile/live/38726_1.m3u8$订阅源
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://116.128.242.83:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
黑龙江卫视,http://59.173.183.242:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://220.249.114.102:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://123.56.129.203:7908/rtp/225.1.8.141:8196$北京电信组播源
黑龙江卫视,http://123.56.129.203:7637/rtp/225.1.8.141:8196$组播源
黑龙江卫视,http://115.171.216.209:4000/rtp/225.1.8.141:8196$组播源|1920x1080
黑龙江卫视,http://60.2.190.206:4000/rtp/239.253.92.85:8016$组播源|1920x1080
黑龙江卫视,http://[2409:8087:1a01:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$订阅源|IPv6
黑龙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/wh7f454c46tw516512633_-1915271837/ott.mobaibox.com/PLTV/3/224/3221227638/index.m3u8?$订阅源|IPv6
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
安徽卫视,http://116.128.242.83:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
安徽卫视,http://183.94.146.109:2222/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
安徽卫视,http://59.173.183.242:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
安徽卫视,http://123.56.129.203:7908/rtp/225.1.8.135:8272$北京电信组播源
安徽卫视,http://123.56.129.203:7637/rtp/225.1.8.135:8272$组播源
安徽卫视,http://60.164.128.167:8029/rtp/239.255.30.84:8231$组播源|1920x1080
安徽卫视,http://222.129.139.229:8888/rtp/239.3.1.211:8064$组播源|1920x1080
安徽卫视,http://60.2.190.206:4000/rtp/239.253.92.209:6566$组播源|1920x1080
安徽卫视,http://123.182.60.29:9002/hls/28/index.m3u8$订阅源
重庆卫视,http://116.128.242.83:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
重庆卫视,http://59.173.183.242:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
重庆卫视,http://220.249.114.102:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
